qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
1044403354,xylophone,1,0.75,4
1044403354,xylophone,2,0.75,4
1044403354,xylophone,3,0.375,4
1044403354,xylophone,4,0.5,4
1044403354,xylophone,5,0.5,4
1044403354,trumpet,1,0.625,2
1044403354,trumpet,2,0.5,2
1044403354,trumpet,3,0.5,2
1044403354,trumpet,4,0.625,2
1044403354,trumpet,5,0.5,2
1044403354,piano,1,0.75,3
1044403354,piano,2,0.375,3
1044403354,piano,3,1,3
1044403354,piano,4,0.625,3
1044403354,piano,5,0.5,3
1044403354,violin,1,0.875,2
1044403354,violin,2,0.5,2
1044403354,violin,3,0.875,2
1044403354,violin,4,0.875,2
1044403354,violin,5,0.625,2
1044403354,oboe,1,0.5,1
1044403354,oboe,2,0.125,1
1044403354,oboe,3,0.375,1
1044403354,oboe,4,0.5,1
1044403354,oboe,5,0.5,1
1067596379,xylophone,1,0,4
1067596379,xylophone,2,0,4
1067596379,xylophone,3,0.125,4
1067596379,xylophone,4,0.875,4
1067596379,xylophone,5,1,4
1067596379,trumpet,1,0.25,2
1067596379,trumpet,2,0.375,2
1067596379,trumpet,3,0.25,2
1067596379,trumpet,4,1,2
1067596379,trumpet,5,1,2
1067596379,piano,1,0,3
1067596379,piano,2,0,3
1067596379,piano,3,0,3
1067596379,piano,4,0.75,3
1067596379,piano,5,1,3
1067596379,violin,1,0,1
1067596379,violin,2,0,1
1067596379,violin,3,0,1
1067596379,violin,4,0.875,1
1067596379,violin,5,1,1
1067596379,oboe,1,0,2
1067596379,oboe,2,0.125,2
1067596379,oboe,3,0.125,2
1067596379,oboe,4,0.625,2
1067596379,oboe,5,1,2
1155580075,xylophone,1,0,4
1155580075,xylophone,2,0,4
1155580075,xylophone,3,0.5,4
1155580075,xylophone,4,1,4
1155580075,xylophone,5,0.875,4
1155580075,trumpet,1,0,3
1155580075,trumpet,2,0,3
1155580075,trumpet,3,0.25,3
1155580075,trumpet,4,1,3
1155580075,trumpet,5,1,3
1155580075,piano,1,0,3
1155580075,piano,2,0,3
1155580075,piano,3,0.375,3
1155580075,piano,4,1,3
1155580075,piano,5,1,3
1155580075,violin,1,0.125,2
1155580075,violin,2,0,2
1155580075,violin,3,0.375,2
1155580075,violin,4,0.875,2
1155580075,violin,5,1,2
1155580075,oboe,1,0,2
1155580075,oboe,2,0,2
1155580075,oboe,3,0.375,2
1155580075,oboe,4,0.875,2
1155580075,oboe,5,1,2
1176432322,xylophone,1,0,4
1176432322,xylophone,2,0.125,4
1176432322,xylophone,3,1,4
1176432322,xylophone,4,1,4
1176432322,xylophone,5,1,4
1176432322,trumpet,1,0,3
1176432322,trumpet,2,0,3
1176432322,trumpet,3,1,3
1176432322,trumpet,4,1,3
1176432322,trumpet,5,1,3
1176432322,piano,1,0,2
1176432322,piano,2,0,2
1176432322,piano,3,1,2
1176432322,piano,4,1,2
1176432322,piano,5,1,2
1176432322,violin,1,0,1
1176432322,violin,2,0,1
1176432322,violin,3,1,1
1176432322,violin,4,1,1
1176432322,violin,5,1,1
1176432322,oboe,1,0,2
1176432322,oboe,2,0,2
1176432322,oboe,3,0.875,2
1176432322,oboe,4,1,2
1176432322,oboe,5,1,2
1475084897,xylophone,1,0.75,4
1475084897,xylophone,2,0.875,4
1475084897,xylophone,3,0.875,4
1475084897,xylophone,4,0.875,4
1475084897,xylophone,5,0.375,4
1475084897,trumpet,1,0.25,3
1475084897,trumpet,2,0.125,3
1475084897,trumpet,3,0.375,3
1475084897,trumpet,4,0.625,3
1475084897,trumpet,5,0.5,3
1475084897,piano,1,0.375,2
1475084897,piano,2,0.5,2
1475084897,piano,3,0.375,2
1475084897,piano,4,0.875,2
1475084897,piano,5,1,2
1475084897,violin,1,0,1
1475084897,violin,2,0.375,1
1475084897,violin,3,0.25,1
1475084897,violin,4,0.375,1
1475084897,violin,5,0.5,1
1475084897,oboe,1,0,2
1475084897,oboe,2,0.25,2
1475084897,oboe,3,0.25,2
1475084897,oboe,4,0,2
1475084897,oboe,5,0,2
1588756489,xylophone,1,0.125,4
1588756489,xylophone,2,0.125,4
1588756489,xylophone,3,0.25,4
1588756489,xylophone,4,1,4
1588756489,xylophone,5,1,4
1588756489,trumpet,1,0.125,4
1588756489,trumpet,2,0.375,4
1588756489,trumpet,3,0.875,4
1588756489,trumpet,4,1,4
1588756489,trumpet,5,1,4
1588756489,piano,1,0.25,3
1588756489,piano,2,0.25,3
1588756489,piano,3,0.75,3
1588756489,piano,4,1,3
1588756489,piano,5,1,3
1588756489,violin,1,0,3
1588756489,violin,2,0.125,3
1588756489,violin,3,1,3
1588756489,violin,4,1,3
1588756489,violin,5,1,3
1588756489,oboe,1,0,3
1588756489,oboe,2,0.25,3
1588756489,oboe,3,0.5,3
1588756489,oboe,4,0.875,3
1588756489,oboe,5,1,3
1706631024,xylophone,1,0,1
1706631024,xylophone,2,0.25,1
1706631024,xylophone,3,0.375,1
1706631024,xylophone,4,0.875,1
1706631024,xylophone,5,1,1
1706631024,trumpet,1,0.25,2
1706631024,trumpet,2,0.125,2
1706631024,trumpet,3,0.5,2
1706631024,trumpet,4,0.875,2
1706631024,trumpet,5,1,2
1706631024,piano,1,0.125,3
1706631024,piano,2,0.125,3
1706631024,piano,3,0.75,3
1706631024,piano,4,1,3
1706631024,piano,5,0.75,3
1706631024,violin,1,0.125,2
1706631024,violin,2,0.125,2
1706631024,violin,3,0.375,2
1706631024,violin,4,0.75,2
1706631024,violin,5,1,2
1706631024,oboe,1,0,1
1706631024,oboe,2,0.125,1
1706631024,oboe,3,0.5,1
1706631024,oboe,4,0.75,1
1706631024,oboe,5,0.875,1
2077443174,xylophone,1,0.875,3
2077443174,xylophone,2,0.625,3
2077443174,xylophone,3,0.75,3
2077443174,xylophone,4,0.875,3
2077443174,xylophone,5,0.75,3
2077443174,trumpet,1,0.375,2
2077443174,trumpet,2,0.625,2
2077443174,trumpet,3,0.75,2
2077443174,trumpet,4,0.875,2
2077443174,trumpet,5,1,2
2077443174,piano,1,0.75,4
2077443174,piano,2,0.75,4
2077443174,piano,3,0.5,4
2077443174,piano,4,0.875,4
2077443174,piano,5,0.75,4
2077443174,violin,1,0.5,2
2077443174,violin,2,0.375,2
2077443174,violin,3,0.75,2
2077443174,violin,4,0.375,2
2077443174,violin,5,0.625,2
2077443174,oboe,1,0,1
2077443174,oboe,2,0.125,1
2077443174,oboe,3,0,1
2077443174,oboe,4,0,1
2077443174,oboe,5,0.125,1
2095686609,xylophone,1,0,2
2095686609,xylophone,2,0,2
2095686609,xylophone,3,0,2
2095686609,xylophone,4,1,2
2095686609,xylophone,5,1,2
2095686609,trumpet,1,0,3
2095686609,trumpet,2,0,3
2095686609,trumpet,3,0.125,3
2095686609,trumpet,4,0.875,3
2095686609,trumpet,5,0.75,3
2095686609,piano,1,0,2
2095686609,piano,2,0,2
2095686609,piano,3,0,2
2095686609,piano,4,0.5,2
2095686609,piano,5,1,2
